mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	5	#	
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	32				
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	33				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	34				
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	35				
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	36				
6	6	21	21	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6		
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	37				
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6		
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	38				
6	6	23	23	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	5		
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	39				
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	40				
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	41				
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	42				
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	9		
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	43				
7	7	25	25	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	8		
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	44				
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	#		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	45				
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	46				
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	47				
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	48				
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	49				
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6		
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	50				
8	8	31	31	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6\		
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	51				
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	52				
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	53				
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	h		
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	54				
9	9	33	33	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	h7		
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	55				
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	56				
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	57				
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	58				
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	59				
10	10	37	37	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6\		
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	60				
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	61				
10	10	39	39	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6		
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	62				
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	63				
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	64				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	65				
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	5		
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	66				
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	67				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	68				
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	69				
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	70				
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	71				
12	12	45	45	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	2		
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	72				
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6		
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	73				
12	12	47	47	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	_		
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	74				
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	75				
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	76				
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	77				
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	5		
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	78				
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	79				
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	80				
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	81				
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	82				
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	83				
14	14	53	53	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	5		
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	84				
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	85				
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	86				
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	87				
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	88				
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	89				
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	90				
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6		
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	91				
15	15	57	57	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6		
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	92				
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	4	
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	93				
15	15	59	59	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	5	3	
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	94				
16	16	60	60	4.0	0	0	Chord	4/4	1	1	1	1	1	95				
16	16	60	60	4.0	0	0	Chord	4/4	2	1	1	1	1	96				
